公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
,,,,,,,,2013-03-31,天使轮,100万人民币,荣之联,,,,,,,,
中翔腾航,北京中航腾翔科技有限公司,http://www.toaero.com,2012-10,天津-东丽区,运营中,硬件,飞行器,2015-09-30,A轮,875万人民币,-,875万,5977万元,,中翔腾航是一家致力于智能无人机的研发、生产和服务的科技公司，其研发的无人机产品广泛应用于军事、国土资源测量、气象观测、城市规划、林业矿产资源等众多领域，,,,,-
宇泛智能,杭州宇泛智能科技有限公司,http://www.uni-ubi.com/,2014-03,浙江-杭州,运营中,硬件,机器人,2018-08-10,A+轮,数千万人民币,-,6300万,未透露,赵弘毅:创始人,杭州宇泛智能（Uni-Ubi）是一家机器人相关技术与产品研发公司，主打以机器视觉技术为基础、机电控制技术为辅的自然交互式（NI）家用机器人，并逐步着手于研发功能和使用场景更加复杂和广泛的智能机器人产品。,杭州市余杭区文一西路998号浙江海外高层次人才创新园4号楼508,0571-872-93191,uni-ubi@uni-ubi.com,-
,,,,,,,,2018-02-06,A轮,未透露人民币,"普华资本,科地资本",,,,,,,,
,,,,,,,,2015-10-10,Pre-A轮,数千万人民币,-,,,,,,,,
,,,,,,,,2015-01-26,天使轮,数百万人民币,天使湾,,,,,,,,
杭州云歌信息,杭州云歌信息技术有限公司,http://www.pushget.com/,2011-07,浙江-杭州,运营中,工具软件,其他工具,-,-,-,-,-,-,金罗杰:CEO,杭州云歌信息是一家基于智能语音的技术公司，将中文自然语言智能语义识别、人机互动对话等技术，运用到精准搜索和移动信息服务领域。2011,,,,-
极限元,极限元（北京）智能科技股份有限公司,http://www.jixianyuan.com/,2012-06,北京-海淀区,运营中,企业服务,黑科技及前沿技术,2016-05-16,天使轮,数千万人民币,杭州水木泽华基金,3000万,1.5亿元,"雷臻:CEO,马骥:公司负责人,康利强:公司负责人",极限元是一家人工智能技术公司，挖掘各个行业领域的智能技术需求，推出了一系列智能技术解决方案，包括智能设备人机交互解决方案、三维虚拟听觉设备、行车疲劳驾驶监测系统等。,北京市海淀区上地东路35号院1号楼3层1-312-316,010-57013435,,-
车和家,北京车和家信息技术有限公司,http://www.chehejia.com/,2015-04,北京-朝阳区,运营中,汽车交通,车联网及硬件,2018-03-22,B轮,30亿人民币,"经纬中国,蓝驰创投,明势资本,源码资本,京西创投(首钢基金),泛城资本",44亿,未透露,"李想:CEO,沈亚楠:联合创始人 总裁,马东辉:联合创始人 总工程师,李铁:联合创始人 CFO",车和家正式成立于2015年7月，致力于打造全新智能电动交通工具，改变用户传统的出行体验。车和家将推出两款战略产品：小而美的SEV（Smart Electric Vehicle）将满足城市1～2人的短途出行，大而强的SUV则将满足家庭用户中长途的出行需要。同时，将通过先进的电动技术、智能驾驶技术和人机交互技术为用户提供全新的智能出行体验。,北京市朝阳区望京街10号院3号楼8层801室,,,-
,,,,,,,,2017-09-08,A+轮,6.2亿人民币,"蓝驰创投,明势资本,Star VC,利欧集团股份,源码资本,元璟资本,中金甲子,李想",,,,,,,,
,,,,,,,,2016-05-03,A轮,7.8亿人民币,"明势资本,利欧集团股份,梅花创投,源码资本",,,,,,,,
,,,,,,,,2015-10-28,天使轮,未透露人民币,"明势资本,梅花创投",,,,,,,,
图漾科技,上海图漾信息科技有限公司,http://www.letcv.com,2015-06,上海-浦东新区,运营中,硬件,传感器及中间件,2017-12-21,A轮,未透露人民币,"盛宇投资,辰韬资本",2200万,未透露,费浙平:创始人,图漾科技是一家专注于机器视觉技术的科技公司，主打产品为“深度摄像头”，是一种能够获取环境物体深度信息的设备，可以精确获取周围环境和物体的三维尺寸和位置数据。,上海浦东传奇广场碧波路635号302室,,,-
,,,,,,,,2016-04-26,Pre-A轮,1500万人民币,-,,,,,,,,
,,,,,,,,2015-07-25,天使轮,数百万人民币,"PreAngel,伽利略资本",,,,,,,,
,,,,,,,,2015-07-01,种子轮,400万人民币,-,,,,,,,,
易瞳科技,深圳市易瞳科技有限公司,http://www.visionertech.com,2015-02,广东-深圳,运营中,硬件,可穿戴设备,2017-01-10,Pre-A轮,数千万人民币,"中科招商,艾瑞资本(艾瑞)",3300万,未透露,"梁剑泓:联合创始人,艾韬:联合创始人,Prof. Steve Mann:公司负责人,Mir Adnan Ali:公司负责人",易瞳科技是一个智能硬件研发公司，致力于研发一款革新人类视觉感知的智能眼镜，它能将现实世界与虚拟世界完美融合，主打产品为基于介导现实（Mediated Reality）的智能眼镜“易瞳VMG”等。,,+86-755-22674590,,-
,,,,,,,,2015-05-26,天使轮,数百万人民币,"PreAngel,乐搏资本",,,,,,,,
智梭科技,常州智梭传感科技有限公司,http://smartsaw.com.cn/,2012-09,江苏-常州,运营中,硬件,传感器及中间件,2012-09-24,天使轮,未透露人民币,经纬中国,-,未透露,,智梭科技是一家高科技企业，专注于新型传感器开发与物联网应用。,,,,-
半个医生,杭州蕙泉健康咨询有限公司,http://www.witspring.com,2014-10,浙江-杭州,运营中,医疗健康,健康保健,2015-05-28,Pre-A轮,数百万美元,真格基金,2250万,未透露,"黄泱:董事长,王超:CEO,瞿波:CDO首席数据官",半个医生是一个医疗大数据挖掘和医疗健康服务提供商，主打“医疗版大白”，基于数据和人工智能为用户提供医疗问答、咨询、自诊服务等，隶属于杭州蕙泉健康咨询有限公司。,杭州市西湖区杭大路1号黄龙世纪广场C座,0571-28958399-824,xcd@witspring.com,-
,,,,,,,,2014-10-11,天使轮,数百万人民币,-,,,,,,,,
好好开车,杭州好好开车科技有限公司,http://www.nicigo.com,2014-10,浙江-杭州,运营中,汽车交通,车联网及硬件,2016-06-01,A轮,6000万人民币,-,6000万,3亿元,何崇中:创始人,好好开车是一个汽车智能安全研发商，跨界融合移动互联网、智能驾驶、智能交通及汽车大数据，倾力打造智能安全车联网与汽车大数据云平台。,,,,-
Gowild狗尾草,深圳狗尾草智能科技有限公司,http://www.gowild.cn/,2013-12,广东-深圳,运营中,硬件,机器人,2018-10-24,A+轮,1.5亿人民币,ECOVACS科沃斯机器人,2.63亿,未透露,"邱楠:创始人,严汉明:COO&amp;联合创始人,王昊奋:知识图谱专家",Gowild狗尾草是一家陪伴型机器人研发商，致力于中文自然语言交互、人工智能、机器人硬件等领域探索和创新，其产品通过一套完整的仿生表情系统，智能识别语言并做出对应的表情，可以180度转动头部，与人聊天，还可以作为智能家居的控制中心。,深圳市南山区科苑北路东方科技大厦1307-09,400-8239-139,service@gowild.cn,-
,,,,,,,,2016-04-23,A轮,1亿人民币,"纳兰德投资,海泉基金(胡海泉),远致富海,紫金港资本",,,,,,,,
,,,,,,,,2015-12-28,Pre-A轮,1000万人民币,"纳兰德投资,海泉基金(胡海泉)",,,,,,,,
,,,,,,,,2015-10-16,天使轮,数百万人民币,智金汇,,,,,,,,
TopXGun拓攻,上海拓攻机器人有限公司,http://www.topxgun.com/,2015-05,江苏-南京,运营中,硬件,其他硬件服务,2017-01-03,B轮,未透露人民币,"坚果资本,达泰资本",3300万,未透露,张羽:CEO,TopXGun是一家从事多旋翼无人飞机研发、生产及销售的科技公司，提供行业无人机飞控系统定制服务及解决方案，隶属于上海拓攻机器人有限公司。,江苏省南京市秦淮区永丰大道26号天安数码创新中心,,,-
,,,,,,,,2016-08-19,A轮,数千万人民币,"达泰资本,长石资本",,,,,,,,
,,,,,,,,2015-09-10,天使轮,数百万人民币,赛富基金,,,,,,,,
极翼机器人,极翼机器人（上海）有限公司,http://www.jiyiuav.com,2014-03,上海-黄浦区,运营中,硬件,飞行器,2015-07-22,A轮,数千万人民币,-,3000万,1.5亿元,陈壮坚:CEO,极翼是一家从事无人机研发、生产和营销的高新技术企业，拥有飞控、云台、光流等自主开发的技术，致力于无人机飞控、云台等核心零部件的开发，并提供无人机系统定制整合解决方案，是业内少数几家拥有无人机核心技术及资源的公司。极翼的团队由负责军工相关项目的人员组成，从直升机飞控到2012年进入多旋翼市场，专业开发多旋翼飞控及无人机周边控制产品。,上海市浦东新区郭守敬路498号14幢22301-1706室,021-61139768,leo@jiyiuav.com,-
纵目科技,纵目科技（上海）股份有限公司,http://www.zongmutech.com,2013-01,上海-浦东新区,运营中,汽车交通,车联网及硬件,2018-06-26,C轮,数亿人民币,"君联资本,德屹资本,建发集团",4.4亿,未透露,唐锐:创始人,纵目科技是一家汽车驾驶辅助技术（ADAS）软硬件方案提供商，致力于成为“基于中国面向世界的从辅助驾驶到自动驾驶的技术引领者”，在拓展ADAS的同时，积极推动高级自动驾驶技术在汽车前装市场的推广和进步。通过和国际主流车规芯片原厂的深度合作开发，以及和高校学术界的共同合作，将基于人工智能的算法导入汽车前装产品。,上海市浦东新区祥科路111号腾飞科技楼3号楼8层,021-2070-8600,info@zongmutech.com,-
,,,,,,,,2017-02-24,B轮,1亿人民币,"君联资本,德屹资本",,,,,,,,
,,,,,,,,2017-02-21,新三板,未透露人民币,-,,,,,,,,
,,,,,,,,2015-11-05,A轮,4000万人民币,深圳协同创新基金,,,,,,,,
Navitor Pharmaceuticals,,http://www.navitorpharma.com/,2010-01,北美洲-美国,运营中,医疗健康,医药电商,2015-12-21,B轮,3300万美元,-,2.15亿,10.725亿元,,Navitor Pharmaceuticals是一家生物医药技术公司，前身是George Vlasuk，研究能够找到精确靶向mTORC1通路的药物分子，许多年龄相关的疾病都是由于mTORC1出现问题导致的。,,,,-
松鼠AI智适应教育,上海乂学教育科技有限公司,http://www.songshuai.com/,2014-09,上海-黄浦区,运营中,教育,K12,2018-07-04,A轮,6亿人民币,"SIG海纳亚洲,诺基亚成长基金",9.01亿,未透露,"栗浩洋:创始人、首席教育技术科学家,周伟:联合创始人、CEO,崔炜:首席科学家,Richard Tong:首席架构师,樊星:CTO,张锐:首席学习官",松鼠AI（乂学）是亚太第一家将人工智能智适应学习技术应用在K12教育领域的“中国TOP20人工智能独角兽”科技公司。开发并拥有亚太第一个完整自主知识产权、以高级算法为核心的AI学习引擎，在多次和高级教师PK的公开人机大战中教学效果超过优秀老师。学术论文被全球多个顶级人工智能教育会议中录取，在IEEE、ACM、IJCAI、AAAI 等多个AI顶级峰会受邀演讲。松鼠AI的科学家来自Knewton、Realizeit、ALEKS等全球独角兽AI教育公司，与斯坦福国际研究院SRI、以及中国科学院分别成立了AI联合实验室。目前已在全国400多个城市开设了1300多家教学中心。三年收入复合增长率620%。,上海市黄浦区建国中路10号5110室,400-0009-900,Press@songshuai.com,-
,,,,,,,,2017-06-07,天使轮,2.7亿人民币,"SIG海纳亚洲,好未来(学而思),新东方,诺基亚成长基金,景林投资,国科嘉和",,,,,,,,
,,,,,,,,2015-06-15,种子轮,3100万人民币,"青松基金,正和岛正和磁系资本,俞敏洪",,,,,,,,
Qfeel Tech速感科技,速感科技（北京）有限公司,http://www.qfeeltech.com,2014-07,北京-海淀区,运营中,硬件,机器人,2017-10-27,B轮,数千万美元,"美国中经合集团,赛富基金,启迪之星（启迪孵化器）,中芯聚源资本,飞图创投,人保远望",2.48亿,未透露,陈震:创始人,速感科技是一家以机器视觉为核心的人工智能创业公司，机器人行业领先的视觉解决方案提供商。公司成立于2014年7月，并已先后完成三轮融资。目前公司的主要产品为面向智能机器人的系统化视觉解决方案——ULBrain™M-32三维视觉传感器、ULBrain™机器人视觉感知引擎、工业级导航定位模块。,北京市海淀区知春路23号量子银座大厦1407,010-5622-8576,bd@qfeeltech.com,-
,,,,,,,,2017-02-28,A轮,数百万美元,"美国中经合集团,赛富基金,启迪之星（启迪孵化器）",,,,,,,,
,,,,,,,,2015-09-14,Pre-A轮,数千万人民币,"英诺天使基金,北软天使基金,臻云创投",,,,,,,,
,,,,,,,,2014-11-14,天使轮,数百万人民币,点亮资本,,,,,,,,
Ohh智能家居,西安奇妙电子科技有限公司,http://51ohh.com/,2014-09,陕西-西安,运营中,硬件,智能家居,2015-10-17,天使轮,1000万人民币,西科天使基金,1000万,5000万元,于杨:创始人,Ohh智能家居是一款依托微信平台，通过自然语音控制家居系统的产品。,,,,-
天博智TBZ,深圳市天博智科技有限公司,http://www.tbzlife.com/,2011-01,广东-深圳,运营中,硬件,机器人,2015-04-07,A轮,数百万人民币,湖杉资本,600万,未透露,欧阳建军:CEO,天博智（TBZ）是一家专注机器人与人工智能的科技公司，主打产品有Bogo儿童探索机器人系列产品等。,,44.34545023,yoursupportrequest@123-reg.co.uk,-
,,,,,,,,2014-11-20,天使轮,数百万人民币,-,,,,,,,,
JOUAV纵横自动化,成都纵横自动化技术有限公司,http://www.jouav.com/,2010-04,四川-成都,运营中,硬件,飞行器,2015-04-08,A轮,1000万人民币,德迅投资,1000万,5000万元,"任斌:CEO,滕树伟:COO",成都纵横自动化是一家无人机智能飞行控制与导航、机载任务设备、指挥控制系统以及系统集成服务商，产品有AP System系列自驾仪、无人机等。,,,,-
九州云,浙江九州云信息科技有限公司,http://www.99cloud.net,2012-05,浙江-杭州,运营中,企业服务,IT基础设施,2015-10-20,B轮,1.5亿人民币,"徽瑾创投,泰达科投",1.7亿,未透露,张淳:CEO,九州云（99Cloud）是一家基于OpenStack的云计算服务提供商，提供云安全、公有云、私有云、大型集成项目等。浙江九州云信息科技有限公司旗下产品。,,,,-
,,,,,,,,2013-10-16,A轮,数百万美元,世纪互联,,,,,,,,
祈飞科技,深圳市祈飞科技有限公司,http://www.prafly.com/,2005-12,广东-深圳,运营中,硬件,机器人,2018-01-15,B轮,未透露人民币,东方融润,3000万,未透露,阮仕涛:CEO,祈飞科技是一家智能机器人系统方案商，专注于智慧零售、智慧医疗、人工智能平台和智能制造领域行业应用解决方案的研究和开发。祈飞终端产品遍布能源管理、车载系统、智能速递、智能制造、智慧厨房、无人驾考驾培、工业安全审计系统、工业云高性能计算节点机群等领域。,,,,-
,,,,,,,,2017-09-29,A+轮,未透露人民币,英特尔投资Intel Capital,,,,,,,,
,,,,,,,,2016-04-12,A轮,数千万人民币,"深创投,前海长城基金,泽山资本,正奇金融",,,,,,,,
ParaTera并行科技,北京并行科技有限公司,http://www.paratera.com/,2007-02,北京-海淀区,运营中,企业服务,数据服务,2015-07-15,A轮,6000万人民币,奇虎360,6300万,未透露,陈健:CEO,并行科技（ParaTera）是一家专注于高性能计算和大数据分析的科技公司，主营业务包括数据中心集群系统建设、公有云7*24小时数据中心在线运维服务、私有云数据中心无人值守自动化运维解决方案、数据中心运营大数据采集分析挖掘可视化服务、应用运行特征分析、系统和应用优化服务等。,,,,-
,,,,,,,,2014-08-02,天使轮,数百万人民币,北京马力天使投资中心,,,,,,,,
Mooring,绵眠（上海）智能科技有限公司,http://www.mirahome.me/,2015-05,上海-普陀区,运营中,硬件,智能家居,2015-11-19,天使轮,未透露人民币,-,-,未透露,"辅容:CEO, 干丁哲:设计总监, 张博宁:CTO, 赵盈智:供应链主管, 米文飞:产品经理",Mooring是一个智能恒温睡垫品牌。通过检测用户睡眠和个体特征以及环境等数据并进行智能计算，全面提升睡眠体验。产品分为睡毯和APP和智能中枢。智能恒温睡垫可以实现智能控温，智能暖床，以及一键烘干功能。,上海市普陀区祁连山路1035弄339号1幢1369室,,,-
Ispider机器人,厦门朴蜂智能科技有限公司,,2013-10,福建-厦门,运营中,硬件,机器人,-,-,-,-,-,-,"方正:创始人,张华龙:市场负责人,彭敢:技术负责人",Ispider是一个大厦外墙清洗机器人品牌，公司曾获得200万高科技项目补贴，于2014年入选厦门双百计划。Ispider并不直接进行产品销售，而是提供外墙清洗服务。Ispider将与一、二线城市的CBD区的大厦管理处签订年限合同，在合同期内，根据客户的要求提供大楼外墙清洁服务。,厦门市海沧区海沧街道嵩屿南二路99号1201之三,18650103377,,-
英梅吉IMG,北京英梅吉科技有限公司,http://www.imgnb.com/,2014-05,北京-朝阳区,运营中,企业服务,行业信息化及解决方案,2015-09-08,A轮,数千万人民币,星火金融,3300万,未透露,"朱郁丛:CEO,李小波:联合创始人",英梅吉科技（IMG）是一家计算机视觉技术服务商，产品包括实时虚拟穿戴技术SDK、人脸识别SDK、单目摄像头手势识别、AR增强现实引擎等。,北京市朝阳区双营路天溪园2号楼1单元402,1395677207,zhuyucong@imgnb.com,-
,,,,,,,,2014-06-21,天使轮,数百万人民币,-,,,,,,,,
EmoKit情感计算免费API,北京好心好运科技服务有限公司,http://www.emokit.com,2009-07,北京-海淀区,运营中,文化娱乐,其他文娱服务,2015-07-10,Pre-A轮,600万人民币,星火金融,600万,3000万元,魏清晨:CEO,EmoKit，情感计算的免费API：情绪的识别、优化、表达。,,,,-
Linker领科云,宝蕴灵科（北京）网络科技有限公司,http://www.linkernetworks.com/,2014-09,北京-朝阳区,运营中,企业服务,其他企业服务,2015-10-02,A轮,3900万人民币,奇虎360,3900万,1.95亿元,,Linker领科云平台是一家专注于移动业务生态的云服务平台，为客户提供混合云计算资源，并为移动业务服务的创建、部署、上线、运维提供一体化解决方案和开放的交易平台。宝蕴灵科（北京）网络科技有限公司旗下产品。,,,,-
天眼查,北京金堤科技有限公司,https://www.tianyancha.com/,2014-10,北京-海淀区,运营中,企业服务,数据服务,2017-03-21,A轮,1.3亿人民币,"荷塘创投（启迪创投）,清控银杏创投,国家中小企业发展基金（国中创投）",1.55亿,未透露,"柳超:创始人,梁双:COO",天眼查是国家中小企业发展基金旗下、致力于助力诚信社会建设的商业安全工具，核心功能为：查公司，查老板，查关系。 天眼查基于政府公开数据，结合独家图数据库技术和世界领先的计算机语言学习能力，在线提供全国1.8亿+家社会实体、90余种数据维度的信息，涵盖企业背景、实际控制人、对外投资、融资历史、股权结构、法律诉讼等角度，还可以实时监控所关注的企业变更。 天眼查，用公开数据，以开放的方式，解决广泛的商业安全需求，让每个人公平地看清这个世界！,北京市海淀区知春路63号中国卫星通信大厦B座23层,400-871-6266 转2,bd@tianyancha.com,-
,,,,,,,,2015-07-07,天使轮,2500万人民币,腾业创投,,,,,,,,
誉存科技,重庆誉存大数据科技有限公司,https://www.socialcredits.cn,2014-10,重庆-渝北区,运营中,金融,信用及征信,2017-01-23,A轮,6500万人民币,"星河互联,华耀资本",1.1亿,未透露,陈玮:创始人,誉存科技是一家大数据金融风险监控SaaS服务平台，打造了服务金融机构的大数据智能风控平台，服务政府部门的大数据智能金融风险监管平台，服务中小企业的大数据助贷融资平台，服务“一带一路”沿线国家的企业大数据服务平台。,重庆市两江新区黄山大道中段55号麒麟C座18楼,023-6703-9558,info@socialcredits.cn,-
,,,,,,,,2016-01-30,Pre-A轮,3000万人民币,广发信德,,,,,,,,
,,,,,,,,2015-05-27,天使轮,1500万人民币,米仓资本,,,,,,,,
云分身机器人,浙江云分身机器人科技有限公司,http://www.yfsrobot.cn/,2014-04,浙江-杭州,运营中,企业服务,数据服务,2015-07-24,天使轮,400万人民币,-,400万,2000万元,祝磊:创始人,云分身机器人是一家云机器人数据平台，通过电话机器人匹配社会形态信息，帮助销售节省应答客户的时间，主要包括CRM、语音机器人技术和云数据平台三部分。杭州云分身机器人科技有限公司旗下产品。,杭州市余杭区梦想小镇互联网村23号仓,0571-85198986,salse@yfsrobot.com,-
用友,用友网络科技股份有限公司,http://www.yonyou.com/,1995-01,北京-海淀区,运营中,企业服务,行业信息化及解决方案,-,-,-,-,-,-,,用友（集团）是企业管理软件、企业互联网服务和企业金融服务提供商，是ERP、CRM、人力资源管理、商业分析、内审、小微企业管理软件和财政、汽车、烟草等行业应用解决方案提供商。,,,,-
北冥星眸GalaxyEye,杭州北冥星眸科技有限公司,http://galaxyeye-tech.com/,2015-06,浙江-杭州,运营中,硬件,机器人,2018-09-25,Pre-A轮,数千万人民币,-,3300万,未透露,"钱小一:CEO,陈亮:CTO,沈佳栋:COO,付荣:",北冥星眸是一家专注于类人人工智能技术研发的公司，致力于搭建通用人工智能系统。,杭州市滨江区长河街道滨安路650号 ix-work A幢2302,0571-8665-6253,business@galaxyeye-tech.com,-
,,,,,,,,2015-11-02,天使轮,数百万人民币,-,,,,,,,,
紫燕无人机,珠海紫燕无人飞行器有限公司,http://ziyanuav.com/,2015-01,广东-广州,运营中,硬件,飞行器,2016-11-29,A轮,数千万人民币,"壹诺创投,十维资本",3300万,未透露,"王江平:CEO,唐毅恒:公司负责人",紫燕根据不同领域，定制专属解决方案，拥有自主研发整机、航电集成、活塞与涡轮发动机集成运用技术，致力于使用成熟技术与前瞻科技，制造空中机器人飞行平台，为客户提供高附加值，目前主打产品是无人直升机。,,,,-
,,,,,,,,2015-03-01,天使轮,数百万人民币,PreAngel,,,,,,,,
云问机器人,南京云问网络技术有限公司,http://www.iyunwen.com/,2013-08,江苏-南京,运营中,企业服务,办公OA,2017-07-28,A轮,3000万人民币,松禾资本,4300万,未透露,王清琛:CEO,南京云问网络技术有限公司（简称云问科技）是一家互联网人工智能技术服务提供商，目前主打产品云问机器人，为用户提供智能客服服务。,南京市鼓楼区建宁路65号,025-52208363,market@FaqRobot.org,-
,,,,,,,,2015-12-25,Pre-A轮,1000万人民币,星河互联,,,,,,,,
,,,,,,,,2014-01-21,天使轮,数百万人民币,南京紫金科创,,,,,,,,
小丘机器人,北京陶阳之星科技有限公司,,2015-11,北京-海淀区,运营中,社交网络,其他社交,-,-,-,-,-,-,彭晗:CEO,小丘机器人是一个主打AI（人工智能）的心理关怀师“机器人”，运用专业的知识和温暖的话语，陪你聊心事，给你快速的情绪帮助，北京陶阳之星科技有限公司旗下产品，此外还开发了暖丘、考拉山等。,,,,-
一飞,一飞智控（天津）科技有限公司,http://www.efy-tech.com,2015-07,天津-滨海新区,运营中,硬件,飞行器,2018-04-09,A轮,数千万人民币,中航信托,6300万,未透露,齐俊桐:CEO,"一飞智控（天津）科技有限公司，于2015 年正式成立，是一家专注于空中短途无人运输的企业， 产品主要应用于无人机物流运输、空中自动驾驶载人运输及军民融合等领域，关技术及应用处于国际领先水平。  目前，一飞面向行业发布了三款空中物流运输产品：“梧桐”无人机场、“鸾凤”物流无人机、“泰坦”无人运输直升机，覆盖支线到末端运输配送场景。
公司核心研发团队由原中国科学院及北京航空航天大学、南京航空航天大学研发队伍组建而成。自2004年起开始核心技术的积累，率先提出为无人机造“大脑”的概念，被世界权威期刊评为中国唯一、全球前十有影响力的飞行机器人研发团队。 目前，一飞智控已成为业内少数拥有核心自主知识产权并掌握大型有人直升机无人化改造的民营企业。
公司现拥有国内一流、实力雄厚的核心研发团队和技术研、人才孵化中心，吸引了一大批来自国内外顶尖高效及IBM、华为、Intel等世界五百强的核心人才加入，企业在北京、深圳先后开设了分公司和办事处。",天津经济技术开发区睦宁路45号,(022) 59860797,contactus@efy-tech.com,-
,,,,,,,,2016-04-28,Pre-A轮,数千万人民币,"峰瑞资本,新龙脉控股,润浙资本",,,,,,,,
,,,,,,,,2015-09-21,天使轮,数百万人民币,丰厚资本,,,,,,,,
有光图像科技,深圳市有光图像科技有限公司,http://www.sharklift.cn/,2015-09,广东-深圳,运营中,硬件,机器人,2017-05-09,Pre-A轮,数百万人民币,-,300万,3000万元,朱积祥:创始人,深圳有光图像科技是一家工业机器人及无人驾驶技术服务商，致力于给机器人装上眼睛，让机器人拥有人的视觉。,,,,-
中科慧眼,北京中科慧眼科技有限公司,http://www.smartereye.com,2014-10,北京-朝阳区,运营中,汽车交通,车联网及硬件,2017-11-27,Pre-B轮,数千万人民币,百度公司,6300万,未透露,姜安:CEO,北京中科慧眼科技有限公司成立于 2014 年 10 月，致力于自动驾驶系统及相关产品的研发与制造。公司拥有多项关于立体视觉测量、自适应校准、双目视觉标定、低光视频增强、软件实时防抖等技术专利及软件著作权，在以视觉方式解决自动驾驶感知领域处于国际领先地位。,北京市朝阳区四惠大厦3039-3044,010-59231480,bin.jiang@smartereye.com,-
,,,,,,,,2016-09-08,A轮,数千万人民币,联想创投集团,,,,,,,,
,,,,,,,,2014-12-04,天使轮,数百万人民币,"隆领投资,国金投资",,,,,,,,
通用机器人,沈阳通用机器人技术股份有限公司,http://www.generalrobots.cn/,2012-11,辽宁-沈阳,运营中,硬件,机器人,2015-06-02,Pre-A轮,1350万人民币,佳讯飞鸿,1975万,未透露,李洪谊:创始人,通用机器人是一家主打工业机器人的科技公司，主打关节型机器人，可用于汽车装配、包装、焊接、喷涂、打磨等行业。,辽宁省沈阳市浑南新区远航西路3号 IT国际大厦11层,024-83786700,tliu@generalrobots.cn,-
,,,,,,,,2014-12-02,天使轮,625万人民币,英诺天使基金,,,,,,,,
Remebot柏惠维康,北京柏惠维康科技有限公司,http://www.remebot.com.cn/,2010-08,北京-海淀区,运营中,医疗健康,医疗器械及硬件,2018-10-26,C轮,1.3亿人民币,联创永宣,2.23亿,未透露,刘达:CEO,北京柏惠维康科技是一家医疗机器人研发、生产、销售、运营公司，主打产品为 Remebot 神经外科手术机器人。,北京市海淀区花园北路35号9号楼健康智谷12层1201单元,010－82011180,tzwwmm@163.com,-
,,,,,,,,2017-05-10,B+轮,数千万人民币,-,,,,,,,,
,,,,,,,,2016-09-05,B轮,数千万人民币,"普华资本,真成投资",,,,,,,,
,,,,,,,,2016-01-13,A轮,数千万人民币,"真格基金,海泉基金(胡海泉),雅瑞资本",,,,,,,,
,,,,,,,,2015-07-24,天使轮,数百万人民币,华夏幸福(知合控股),,,,,,,,
英倍汽车智能,广州英倍信息技术有限公司,,2014-09,广东-广州,运营中,汽车交通,车联网及硬件,2016-01-20,Pre-A轮,1500万人民币,"达鑫电子,太乙汽车技术",1500万,7500万元,邓小强:CEO,广州英倍是一家主打车联网、智能驾驶的汽车科技公司，致力于汽车智能驾驶、无人驾驶、车联网、汽车HUD抬头显示导航等产品与服务。,广州白云区云城南三路399号万达广场A3栋302室,020-36763126,,-
明略数据,北京明略软件系统有限公司,http://www.mininglamp.com/,2014-04,北京-昌平区,运营中,企业服务,数据服务,2017-10-31,C轮,10亿人民币,"腾讯,华兴新经济基金",12.3亿,未透露,"吴明辉:董事长,冯是聪:CTO",明略数据是一家专注于关系挖掘的大数据行业应用解决方案提供商，以自主研发的大数据平台MDP为基础，围绕关系挖掘DataInsight、商业智能Discovery、数据关联分析SCOPA等核心产品，提供一系列数据深度分析平台和软件，帮助政府、税务、公安、金融等客户，在安全可靠的环境下，整理、分析、利用不同来源的结构化和非结构化数据，挖掘数据间的关联价值。,北京市海淀区东北旺西路8号院4号楼310号,010-84923389-8020,gaidonglei@semidata.com,-
,,,,,,,,2016-08-10,B轮,2亿人民币,"红杉资本中国,天堂硅谷,分享投资,任子行",,,,,,,,
,,,,,,,,2015-06-29,A轮,数千万人民币,天堂硅谷,,,,,,,,
AICRobo爱啃萝卜机器人,爱啃萝卜机器人技术（深圳）有限责任公司,http://www.aicrobo.com,2015-08,广东-深圳,运营中,硬件,机器人,2017-10-17,A轮,数千万人民币,磐霖资本,3300万,未透露,佘元博:CEO,AICRobo爱啃萝卜机器人是一家集机器人操作系统、人工智能解决方案、智能移动机器人设计研发为一体的高科技公司。 公司在人工智能技术应用方面技术实力完备，包括机器人室内视觉定位、自主导航、智能避障、自然人机交互（语言、视觉等）、机器学习等。为了应用这些技术，公司开发了智能机器人操作系统，除集成相应智能算法外，还能无缝与各类传感器和执行机构对接。,深圳市南山区学苑大道1001号智园B1座,,service@aicrobo.com ,-
,,,,,,,,2016-03-17,天使轮,数百万人民币,弘鹰资本,,,,,,,,
斯帕克科技,北京斯帕克科技有限公司,http://www.int-spark.com/,2015-02,北京-海淀区,运营中,硬件,飞行器,2015-05-06,天使轮,数百万人民币,明势资本,300万,1500万元,韩路:CEO,斯帕克科技是一家消费级智能无人机开发商，此外还开发了5X兴趣社区等。,北京市海淀区北坞村路甲25号静芯园L座楼北楼三层,,,-
